Name,Department,Preferred Programme for Supervision (1st Choice),Preferred Programme for Supervision (2nd Choice),Expertise Area 1,Expertise Area 2,Expertise Area 3,standardised Expertise 1,standardised Expertise 2,standardised Expertise 3,standardised Topics
Dr Nor Hafizah Mohamed Halip,DSCCR,BCS / BSE / BIT,BSDA,['Applied AI'],['Industrial IoT'],[],['Artificial Intelligence'],['Internet of Things'],[],"Artificial Intelligence, Internet of Things"
Dr Yawar Abbas Bangash,DSCCR,BCNS,BCS / BSE / BIT,['Computer Networks'],['Information Security'],['Software Engineering'],['Computer Networking'],['Cybersecurity'],['Software Engineering'],"Computer Networking, Cybersecurity, Software Engineering"
Foo Jinny,DSCCR,BSDA,BCS / BSE / BIT,['Big Data Analysis'],['Data Mining'],['Blockchain'],['Data Analytics'],['Data Mining'],['Blockchain'],"Data Analytics, Data Mining, Blockchain"
Lim Woan Ning,DSCCR,BCS / BSE / BIT,BCS / BSE / BIT,"['Extended reality (VR,AR,MR)']",['Application development'],['Machine Learning'],['Extended Reality'],['Application Development'],['Machine Learning'],"Extended Reality, Application Development, Machine Learning"
Prof. Lau Sian Lun,DSCCR,No Preference,No Preference,['Green computing'],['Applied Machine Learning'],['Sustainable smart city'],['Green Computing'],['Machine Learning'],['Smart Cities'],"Green Computing, Machine Learning, Smart Cities"
Prof. Serge Demidenko,DSCCR,No Preference,No Preference,"['Computer Engineering', 'Electronics']","['Signal Processing', 'Image Processing']",['Software Engineering'],"['Computer Engineering', 'Electronics']","['Signal Processing', 'Image Processing']",['Software Engineering'],"Computer Engineering, Electronics, Signal Processing, Image Processing, Software Engineering"
Prof. Lee Chien Sing,DSCCR,BCS / BSE / BIT,BCS / BSE / BIT,['E-commerce games '],['Chatbots'],[],['E-commerce games'],['Natural Language Processing'],[],"E-commerce games, Natural Language Processing"
Pyi Phyo Aung,DSCCR,BCS / BSE / BIT,BCNS,['Embedded System'],['TinyML'],['IoT'],['Embedded Systems'],['Embedded Systems'],['Internet of Things'],"Embedded Systems, Internet of Things"
Yeap Boon Han,DSCCR,BCS / BSE / BIT,No Preference,['Development'],[],[],['Software Engineering'],[],[],Software Engineering
Assoc. Prof. Dr Ranjit Singh Sarban Singh,HUMAC,No Preference,No Preference,['Renewable Energy System Management'],['Battery Energy Storage Management'],['Embedded System Development'],['Renewable Energy System Management'],['Renewable Energy System Management'],['Embedded Systems'],"Renewable Energy System Management, Embedded Systems"
Dr Tang Tiong Yew,HUMAC,BCS / BSE / BIT,BSDA,"['Applied Generative AI', 'Applied AI']",['Machine Learning'],"['Robotics', 'Blockchain', 'Commercial Projects']","['Generative AI', 'Artificial Intelligence']",['Machine Learning'],"['Robotics', 'Blockchain', 'Commercial Projects']","Generative AI, Artificial Intelligence, Machine Learning, Robotics, Blockchain, Commercial Projects"
Prof. Yap Kian Meng,HUMAC,No Preference,No Preference,['Distributed haptics'],['Network architectures and protocols'],['High-speed computer and Telecommunications networks'],['Distributed Haptics'],['Computer Networking'],['Computer Networking'],"Distributed Haptics, Computer Networking"
Dr Tan Tee Hean,HUMAC,BCS / BSE / BIT,No Preference,['mobile development'],['Natural Language Processing'],['Development'],['Mobile Development'],['Natural Language Processing'],['Software Engineering'],"Mobile Development, Natural Language Processing, Software Engineering"
Assoc. Prof. Dr Chia Wai Chong,SEN,BCS / BSE / BIT,BCS / BSE / BIT,['Application Development'],['Image Processing'],[],['Application Development'],['Image Processing'],[],"Application Development, Image Processing"
Dr Richard Wong Teck Ken,SEN,No Preference,No Preference,['Smart transportation system'],['Operational optimisation for sustainability'],['Embedded system applications'],['Smart Cities'],['Operational Optimisation'],['Embedded Systems'],"Smart Cities, Operational Optimisation, Embedded Systems"
Dr Ngu War Hlaing,SEN,No Preference,No Preference,['Wireless Communication'],['Network Coding'],['Antenna Design'],['Wireless Communication'],['Network Coding'],['Antenna Design'],"Wireless Communication, Network Coding, Antenna Design"
Assoc. Prof. Abdul Aziz Omar,SEN,BSDA,BSDA,['data analytics'],[],[],['Data Analytics'],[],[],Data Analytics
Prof. Rosdiadee Nordin,SEN,BCNS,BCNS,[],[],[],[],[],[],
Prof. Liew Chee Sun,DDSAI,No Preference,No Preference,"['distributed systems', 'IoT', 'Databases', 'Cloud Computing', 'Network Security', 'Deep Learning']",[],[],"['Distributed Systems', 'Internet of Things', 'Databases', 'Cloud Computing', 'Network Security', 'Deep Learning']",[],[],"Distributed Systems, Internet of Things, Databases, Cloud Computing, Network Security, Deep Learning"
